group_id,equipment_process,equipment_maker,equipment_name,equipment_id,utility,size,path_count,unique_poc_count,avg_similarity,max_start_xy_dist,trunk_z,trunk_xy_spread,trunk_path_count,is_estimated,fan_in_z_min,fan_in_z_max,fan_out_z_min,fan_out_z_max,poc_ids
33,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,NW,1B,3,3,0.8025,2050.0,11964.2,9293.6,3,False,14885.0,15495.0,12372.7,12780.6,f251189d-fcea-43f5-af5c-f478e8be437d|cc197f53-7470-49a4-ba6c-ae7514da7c76|d7fdd9fa-01b5-4835-8164-4739c5616079
34,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,NW,3/4B,3,3,0.8013,4615.4,11963.2,8877.8,3,False,15035.0,15495.0,12372.7,12780.6,dcaae8cc-4d6c-4e41-be61-71947f8407cb|8c0eeb03-b9fa-4e2e-9c38-c45cf16d433b|0c6df762-ceb1-46eb-85fb-d612d6221dde
35,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,Foreline,100A,2,2,0.9914,686.1,-,-,-,False,-,-,-,-,c157c0cf-5a79-4073-bd2e-687b0ba77364|03add684-7a89-4124-8747-6089625c3429
36,DIFF,-,DANHJ14,9696f5bb-6472-4942-9a6a-66cbe0e1da53,GN2,1/8B,2,2,0.9849,205.7,13362.0,2922.4,2,False,14600.4,15455.5,12168.2,12590.8,8e67f73e-445c-482f-9d3c-bdd1905fd6b6|590729b9-edc3-4f7f-afb0-d6adf6352666
37,ETCH,-,VMB_C4F8_VMHYT,9a8061a6-ad87-484e-b0c8-088229ce126b,C4F8,8A,2,2,0.9187,80.0,11640.3,1786.1,2,False,9995.4,10777.5,13220.0,15495.0,e9e8f00e-a35b-4340-94d3-92352c4920f7|26d9a391-46ab-4818-82f8-e02db6b42768
38,DIFF,-,DANHJ14,9696f5bb-6472-4942-9a6a-66cbe0e1da53,Foreline,100A,2,2,0.9134,650.0,-,-,-,False,-,-,-,-,6bde945d-1a05-4a90-a370-3020bdc3483f|e67a68c4-5adf-48bd-92a7-9164fd405a73
39,DIFF,-,Scrubber_001,50e309c5-b5a2-4bd7-90af-e797f4df80b4,PFC,50A,2,2,0.9096,150.3,6236.2,1932.8,2,False,4149.5,5001.1,5548.5,5643.0,d2cc11c6-48b8-49f9-9dbc-909b3013b1ac|5cb39ebc-678f-440d-a6d2-e027d6af06a9
40,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,-,3/8B,2,2,0.896,25.0,15155.0,1883.7,2,False,-,-,-,-,e90af5bf-041d-4972-86fa-a51d899aea3d|38c27c77-c3bf-4017-b0bb-78fa2c157847
41,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,WF6,1/4B,2,2,0.8802,2165.7,10551.0,692.3,2,False,13600.0,15495.0,9995.0,9995.0,7ea69d21-3036-4d42-bdb9-45fdcc782209|65413de9-7807-4bf1-bc0a-7c6fa48f21c8
42,PHOTO,TEST,PSTWA03,3317d1fa-ec47-4d85-a5c5-7d23c64ebd02,T3(ArF),25A,2,2,0.8711,1665.5,13540.9,3128.9,2,False,14750.0,15495.0,13101.5,13106.8,a2f54b79-4e75-4f6a-be7d-56fb6b0b91ef|46e0264b-0eb9-4985-9e5d-66aac5d13c59
43,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,NF3,1/4B,2,2,0.8683,2157.1,10551.0,470.7,2,False,13600.0,15495.0,9995.0,9995.0,c712bbc4-d9c1-4e68-8d0a-96fa79692a8e|687767f6-3936-4158-b25c-83b0f4b8429f
44,METAL,samsung,Comp_Pump_KAS_MU300P_9??,9da64596-4fc6-43d3-8c8c-61eaec322aa5,-,20A,2,2,0.8375,27.1,15155.0,1375.9,2,False,14596.5,14633.5,-,-,5f11e7f4-fd28-403b-93d2-784f3de8a708|73937ac6-b691-4e66-945d-733fad39cff1
45,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,Foreline,50A,2,2,0.8342,120.2,15319.0,2003.6,2,False,-,-,-,-,6daadd1e-7fed-4607-b991-648fda87bbbc|d4875a71-98c2-45da-923c-bd7cd5d3a34e
46,DIFF,-,Scrubber_001,50e309c5-b5a2-4bd7-90af-e797f4df80b4,PFC,50A,2,2,0.82,150.3,4660.6,789.6,2,False,4149.5,4179.8,4149.5,4179.8,d2cc11c6-48b8-49f9-9dbc-909b3013b1ac|5cb39ebc-678f-440d-a6d2-e027d6af06a9
47,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,CH2F2,1/4B,2,2,0.8191,100.0,14964.8,313.8,2,False,15495.0,15495.0,9995.4,13303.2,e662203d-1541-4e88-b1e2-3cdca59b7e76|5a6f273c-d354-4340-a141-1818c0c2f1ab
48,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,UPW_S,20A,2,1,0.8074,0.0,14699.8,1744.9,2,False,15200.3,15495.0,12769.9,13600.0,da6e23b4-0f82-4544-8b96-e897ebdf9cac|da6e23b4-0f82-4544-8b96-e897ebdf9cac
49,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,HOT DI_S,20A,2,1,0.8007,0.0,14899.8,2553.2,2,False,15495.0,15495.0,12769.9,13600.0,76168a2c-9b11-4b10-850f-9ea1bb6fbf27|76168a2c-9b11-4b10-850f-9ea1bb6fbf27
50,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,Foreline,50A,2,2,0.792,1265.4,-,-,-,False,-,-,-,-,ee10eab0-dc29-4a4a-a2eb-ea7792a3ed4b|80ae15a0-4164-4a5c-9f57-17d2c038c665
51,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,PA,3/8B,2,1,0.7688,0.0,15154.9,4672.7,2,True,-,-,-,-,63093af2-45c0-45b4-844a-4522a2ed18c2|63093af2-45c0-45b4-844a-4522a2ed18c2
52,PHOTO,TEST,PSTWA03,3317d1fa-ec47-4d85-a5c5-7d23c64ebd02,-,3/4B,2,2,0.7651,60.0,13600.0,2655.6,2,False,15136.8,15495.0,11096.0,11166.2,e960a6fe-1a22-4a16-bb47-7420c8f252c6|25eebf81-7f8d-49df-979e-c7ef87bb4e16
53,ETCH,-,VMB_CH2F2_VMHYT,dc0a80ba-8283-4251-9e3a-37d31058d392,CH2F2,1/4B,2,2,0.7613,80.0,14964.8,313.8,2,False,9995.4,13303.2,15495.0,15495.0,561c7a60-9eb3-47c2-9095-899ecb6eaa2e|6bf24d46-d3f8-4d9c-aee5-b80065801f9a
54,DIFF,samsung,Comp_Pump_KAS_MU300P_9??,a81d5b97-c435-4225-9347-fea730069d96,-,1/2B,2,2,0.7556,50.0,5415.8,4250.7,2,False,3520.0,4200.9,-,-,76b7bdda-7218-44fe-b7da-fe1c5bd9eae3|ab6f8e8a-b0ca-4d3e-a537-ee5ecc0cf4c9
55,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,PA,1/2B,2,2,0.7108,136.1,13600.9,3427.4,2,False,14965.0,15495.0,12254.9,12597.0,7c487c1c-8840-4852-96c3-7c22556d14cb|8be2bed2-29c1-442a-8555-fdba335d1ee2
56,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,T2(IPA),3/4B,2,2,0.7081,188.6,14795.0,1575.0,2,False,15495.0,15495.0,13130.4,13300.3,342137f4-937d-4683-ba3b-570d31d2c5e0|86b4be9f-d440-415b-9bd6-7ec7f1a39ea0
57,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,C4F6,1/4B,2,2,0.7041,142.2,11639.7,3255.2,2,False,13219.4,15495.0,9995.4,10774.3,290d54e7-e0cf-4496-be7e-67e5a428de5a|0f8544f3-63ba-4b03-b5bd-4c6e12d954ae
58,ETCH,TEST,VMB_C4F6_VMHYT,15e8bde3-e097-46ac-8e76-34c018e21e4c,C4F6,1/4B,2,2,0.7041,80.0,11639.7,3255.2,2,False,9995.4,10774.3,13219.4,15495.0,e2c6dc6c-9e1c-476e-ac0e-dc2097be8a60|bf51881e-ed76-4e92-acea-c7ceb4cb7b1c
